region1,region2,region3,count
서귀포시,대포동,대포동,22
서귀포시,도순동,도순동,10
서귀포시,동홍동,동홍동,53
서귀포시,법환동,법환동,32
서귀포시,보목동,보목동,15
서귀포시,상예동,상예동,15
서귀포시,상효동,상효동,34
서귀포시,색달동,색달동,33
서귀포시,서귀동,서귀동,52
서귀포시,서호동,서호동,38
서귀포시,서홍동,서홍동,27
서귀포시,신효동,신효동,22
서귀포시,월평동,월평동,14
서귀포시,중문동,중문동,34
서귀포시,토평동,토평동,52
서귀포시,하예동,하예동,8
서귀포시,하원동,하원동,12
서귀포시,하효동,하효동,18
서귀포시,호근동,호근동,27
서귀포시,회수동,회수동,8
제주시,건입동,건입동,26
제주시,내도동,내도동,7
제주시,노형동,노형동,82
제주시,도남동,도남동,15
제주시,도두이동,도두이동,4
제주시,도두일동,도두일동,12
제주시,도련이동,도련이동,8
제주시,도련일동,도련일동,19
제주시,도평동,도평동,6
제주시,봉개동,봉개동,51
제주시,삼도이동,삼도이동,10
제주시,삼도일동,삼도일동,17
제주시,삼양삼동,삼양삼동,3
제주시,삼양이동,삼양이동,11
제주시,삼양일동,삼양일동,9
제주시,아라이동,아라이동,12
제주시,아라일동,아라일동,55
제주시,연동,연동,63
제주시,영평동,영평동,38
제주시,오등동,오등동,22
제주시,오라삼동,오라삼동,6
제주시,오라이동,오라이동,32
제주시,오라일동,오라일동,13
제주시,외도이동,외도이동,3
제주시,외도일동,외도일동,21
제주시,용강동,용강동,12
제주시,용담삼동,용담삼동,16
제주시,용담이동,용담이동,35
제주시,용담일동,용담일동,19
제주시,월평동,월평동,15
제주시,이도이동,이도이동,49
제주시,이도일동,이도일동,13
제주시,이호이동,이호이동,10
제주시,이호일동,이호일동,11
제주시,일도이동,일도이동,45
제주시,일도일동,일도일동,7
제주시,해안동,해안동,14
제주시,화북이동,화북이동,27
제주시,화북일동,화북일동,25
제주시,회천동,회천동,11
제주시,애월읍,하귀리,42
